title,imdb_poster,imdb_place,imdb_score,filmweb_poster,filmweb_place,filmweb_score
Rear Window,"http://ia.media-imdb.com/images/M/MV5BMTg5MjM4NzEwOF5BMl5BanBnXkFtZTgwMDE1NjM0MTE@._V1_SY50_CR0,0,34,50_AL_.jpg",37,8.5,,,
Intouchables,"http://ia.media-imdb.com/images/M/MV5BMTYxNDA3MDQwNl5BMl5BanBnXkFtZTcwNTU4Mzc1Nw@@._V1_SX34_CR0,0,34,50_AL_.jpg",38,8.5,http://1.fwcdn.pl/po/33/90/583390/7441162.4.jpg,2,8.0
Whiplash,"http://ia.media-imdb.com/images/M/MV5BMTU4OTQ3MDUyMV5BMl5BanBnXkFtZTgwOTA2MjU0MjE@._V1_SX34_CR0,0,34,50_AL_.jpg",39,8.5,,,
Modern Times,"http://ia.media-imdb.com/images/M/MV5BMjAyMTkxNjI5OF5BMl5BanBnXkFtZTYwMjI2MjA5._V1_SY50_CR1,0,34,50_AL_.jpg",40,8.5,,,
The Green Mile,"http://ia.media-imdb.com/images/M/MV5BMTUxMzQyNjA5MF5BMl5BanBnXkFtZTYwOTU2NTY3._V1_SX34_CR0,0,34,50_AL_.jpg",41,8.5,http://1.fwcdn.pl/po/08/62/862/7517878.4.jpg,4,8.0
Terminator 2: Judgment Day,"http://ia.media-imdb.com/images/M/MV5BMTg5NzUwMDU5NF5BMl5BanBnXkFtZTcwMjk2MDA4Mg@@._V1_SY50_CR3,0,34,50_AL_.jpg",42,8.5,,,
Memento,"http://ia.media-imdb.com/images/M/MV5BMTc4MjUxNDAwN15BMl5BanBnXkFtZTcwMDMwNDg3OA@@._V1_SY50_CR2,0,34,50_AL_.jpg",43,8.5,,,
The Pianist,"http://ia.media-imdb.com/images/M/MV5BMTc4OTkyOTA3OF5BMl5BanBnXkFtZTYwMDIxNjk5._V1_SX34_CR0,0,34,50_AL_.jpg",44,8.5,http://1.fwcdn.pl/po/22/25/32225/7519150.4.jpg,21,8.0
The Departed,"http://ia.media-imdb.com/images/M/MV5BMTI1MTY2OTIxNV5BMl5BanBnXkFtZTYwNjQ4NjY3._V1_SX34_CR0,0,34,50_AL_.jpg",45,8.5,http://1.fwcdn.pl/po/60/05/136005/7518097.4.jpg,49,7.0
Apocalypse Now,"http://ia.media-imdb.com/images/M/MV5BMTcyMzQ5NDM4OV5BMl5BanBnXkFtZTcwODUwNDg3OA@@._V1_SY50_CR2,0,34,50_AL_.jpg",46,8.5,http://1.fwcdn.pl/po/10/92/1092/7053688.4.jpg,36,8.0
Gladiator,"http://ia.media-imdb.com/images/M/MV5BMTgwMzQzNTQ1Ml5BMl5BanBnXkFtZTgwMDY2NTYxMTE@._V1_SX34_CR0,0,34,50_AL_.jpg",47,8.5,,,
Sunset Blvd.,"http://ia.media-imdb.com/images/M/MV5BMTc3NDYzODAwNV5BMl5BanBnXkFtZTgwODg1MTczMTE@._V1_SX34_CR0,0,34,50_AL_.jpg",48,8.5,,,
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,"http://ia.media-imdb.com/images/M/MV5BMTU2ODM2NTkxNF5BMl5BanBnXkFtZTcwOTMwMzU3Mg@@._V1_SX34_CR0,0,34,50_AL_.jpg",49,8.5,,,
Back to the Future,"http://ia.media-imdb.com/images/M/MV5BMjA5NTYzMDMyM15BMl5BanBnXkFtZTgwNjU3NDU2MTE@._V1_SX34_CR0,0,34,50_AL_.jpg",50,8.5,,,
Alien,"http://ia.media-imdb.com/images/M/MV5BMTU1ODQ4NjQyOV5BMl5BanBnXkFtZTgwOTQ3NDU2MTE@._V1_SX34_CR0,0,34,50_AL_.jpg",51,8.5,,,
The Prestige,"http://ia.media-imdb.com/images/M/MV5BMjA4NDI0MTIxNF5BMl5BanBnXkFtZTYwNTM0MzY2._V1_SX34_CR0,0,34,50_AL_.jpg",52,8.5,http://1.fwcdn.pl/po/99/45/259945/7536864.4.jpg,33,8.0
The Lion King,"http://ia.media-imdb.com/images/M/MV5BMjEyMzgwNTUzMl5BMl5BanBnXkFtZTcwNTMxMzM3Ng@@._V1_SY50_CR2,0,34,50_AL_.jpg",53,8.4,http://1.fwcdn.pl/po/68/78/6878/7389475.4.jpg,23,8.0
The Great Dictator,"http://ia.media-imdb.com/images/M/MV5BMTQ5NDAwMDgzOV5BMl5BanBnXkFtZTgwNDI2MjA0MjE@._V1_SX34_CR0,0,34,50_AL_.jpg",54,8.4,,,
The Lives of Others,"http://ia.media-imdb.com/images/M/MV5BNDUzNjYwNDYyNl5BMl5BanBnXkFtZTcwNjU3ODQ0MQ@@._V1_SX34_CR0,0,34,50_AL_.jpg",55,8.4,,,
Cinema Paradiso,"http://ia.media-imdb.com/images/M/MV5BMjIzMTgzOTEwOF5BMl5BanBnXkFtZTgwNTUxNjcxMTE@._V1_SX34_CR0,0,34,50_AL_.jpg",56,8.4,,,
Django Unchained,"http://ia.media-imdb.com/images/M/MV5BMjIyNTQ5NjQ1OV5BMl5BanBnXkFtZTcwODg1MDU4OA@@._V1_SX34_CR0,0,34,50_AL_.jpg",57,8.4,http://1.fwcdn.pl/po/05/41/620541/7517014.4.jpg,17,8.0
The Shining,"http://ia.media-imdb.com/images/M/MV5BODMxMjE3NTA4Ml5BMl5BanBnXkFtZTgwNDc0NTIxMDE@._V1_SY50_CR0,0,34,50_AL_.jpg",58,8.4,http://1.fwcdn.pl/po/10/20/1020/7183753.4.jpg,79,7.0
Paths of Glory,"http://ia.media-imdb.com/images/M/MV5BMTUxNTcxMjI5NV5BMl5BanBnXkFtZTcwNTcyNjI3Mw@@._V1_SY50_CR0,0,34,50_AL_.jpg",59,8.4,,,
The Dark Knight Rises,"http://ia.media-imdb.com/images/M/MV5BMTk4ODQzNDY3Ml5BMl5BanBnXkFtZTcwODA0NTM4Nw@@._V1_SX34_CR0,0,34,50_AL_.jpg",60,8.4,,,
American Beauty,"http://ia.media-imdb.com/images/M/MV5BMjM4NTI5NzYyNV5BMl5BanBnXkFtZTgwNTkxNTYxMTE@._V1_SX34_CR0,0,34,50_AL_.jpg",61,8.4,,,
WALL·E,"http://ia.media-imdb.com/images/M/MV5BMTczOTA3MzY2N15BMl5BanBnXkFtZTcwOTYwNjE2MQ@@._V1_SX34_CR0,0,34,50_AL_.jpg",62,8.4,,,
North by Northwest,"http://ia.media-imdb.com/images/M/MV5BMjQwMTQ0MzgwNl5BMl5BanBnXkFtZTgwNjc4ODE4MzE@._V1_SX34_CR0,0,34,50_AL_.jpg",63,8.4,,,
Aliens,"http://ia.media-imdb.com/images/M/MV5BMTYzNzU5MzQ4OV5BMl5BanBnXkFtZTcwMDcxNDg3OA@@._V1_SY50_CR2,0,34,50_AL_.jpg",64,8.4,,,
Citizen Kane,"http://ia.media-imdb.com/images/M/MV5BMTQ2Mjc1MDQwMl5BMl5BanBnXkFtZTcwNzUyOTUyMg@@._V1_SX34_CR0,0,34,50_AL_.jpg",65,8.4,,,
Grave of the Fireflies,"http://ia.media-imdb.com/images/M/MV5BMTgyMzUwMTMxMl5BMl5BanBnXkFtZTgwODYyMDk2MjE@._V1_SY50_CR0,0,34,50_AL_.jpg",66,8.4,,,
Vertigo,"http://ia.media-imdb.com/images/M/MV5BNzY0NzQyNzQzOF5BMl5BanBnXkFtZTcwMTgwNTk4OQ@@._V1_SX34_CR0,0,34,50_AL_.jpg",67,8.4,,,
M,"http://ia.media-imdb.com/images/M/MV5BMTQyNjA5NzU5MV5BMl5BanBnXkFtZTgwMDk1MTA5MTE@._V1_SY50_CR0,0,34,50_AL_.jpg",68,8.4,,,
Oldboy,"http://ia.media-imdb.com/images/M/MV5BMTI3NTQyMzU5M15BMl5BanBnXkFtZTcwMTM2MjgyMQ@@._V1_SX34_CR0,0,34,50_AL_.jpg",69,8.4,,,
Das Boot,"http://ia.media-imdb.com/images/M/MV5BMjE5Mzk5OTQ0Nl5BMl5BanBnXkFtZTYwNzUwMTQ5._V1_SX34_CR0,0,34,50_AL_.jpg",70,8.4,,,
